ID_UG	ID_Vertice	XX_v	YY_v	Concelho
9	585	-18218.8563	166072.5729	Penafiel
9	586	-18258.5439	166047.4374	Penafiel
9	587	-18278.3877	166018.3332	Penafiel
9	588	-18247.2991	165983.2758	Penafiel
9	589	-18228.1168	165979.3071	Penafiel
9	590	-18208.273	166002.4581	Penafiel
9	591	-18210.2574	166030.2394	Penafiel
9	592	-18171.8927	166018.9946	Penafiel
9	593	-18138.8197	166016.3488	Penafiel
9	594	-18111.0384	166038.177	Penafiel
9	595	-18089.0181	166064.0832	Penafiel
9	596	-18080.7737	166056.8901	Penafiel
9	597	-18023.1963	166122.0508	Penafiel
9	598	-17950.7824	166109.018	Penafiel
9	599	-17915.2756	166034.5191	Penafiel
9	600	-17925.1996	165743.3979	Penafiel
9	601	-18030.3377	165799.2771	Penafiel
9	602	-18050.8694	165828.2755	Penafiel
9	603	-18057.0077	165868.7039	Penafiel
9	604	-18085.5828	165804.7805	Penafiel
9	605	-18093.6262	165791.0221	Penafiel
9	606	-18103.085	165774.7502	Penafiel
9	607	-18103.4158	165752.2606	Penafiel
9	608	-18103.085	165722.8256	Penafiel
9	609	-18116.4934	165684.8882	Penafiel
9	610	-18125.7538	165646.5235	Penafiel
9	611	-18150.2278	165585.0078	Penafiel
9	612	-18154.1966	165561.8567	Penafiel
9	613	-18160.8112	165528.7837	Penafiel
9	614	-18106.2866	165479.0207	Penafiel
9	615	-18106.9613	165478.055	Penafiel
9	616	-18168.7436	165470.3302	Penafiel
9	617	-18207.9947	165514.1265	Penafiel
10	618	-18322.3105	165604.8665	Penafiel
10	619	-18334.9029	165559.2382	Penafiel
10	620	-18399.9145	165577.8392	Penafiel
10	621	-18386.4036	165520.1258	Penafiel
